Resource,User,Count,Count_Pct,Avg,Min,P5,P25,P50,P75,P95,P99,Max,Stdev,Sum,Sum_Pct
Audit_Data.MapServer,haile006,4578.0,0.13386,0.07981441169977188,0.0004900000058114529,0.0008800000068731606,0.0011899999808520079,0.0023399998899549246,0.004370000213384628,0.19867999851703644,2.776439905166626,6.594880104064941,0.4684707922583541,365.3903503417969,0.0043299999088048935
Coll_Geo_2020/2020_Coll_Geo_Viewer_wBCU.MapServer,anonymous,2539.0,0.07424,7.882180690765381,0.0016599999507889152,0.01638999953866005,0.06649000197649002,0.2953900098800659,0.7053800225257874,2.062540054321289,309.0355224609375,501.2733154296875,47.90568334692949,20012.85546875,0.23740999400615692
PES_BCU/PES_BCU_Search.MapServer,anonymous,2389.0,0.06986,8.601419448852539,0.010350000113248825,0.10763999819755554,0.5062699913978577,1.3296200037002563,16.696870803833008,25.678390502929688,32.54827117919922,50.8785400390625,9.580165668963335,20548.791015625,0.24376000463962555
VTD/VotingDistrictsViewer.MapServer,anonymous,2093.0,0.0612,0.7233763933181763,0.04162999987602234,0.055390000343322754,0.05852999910712242,0.8738099932670593,1.148419976234436,1.513759970664978,1.8577699661254883,4.595739841461182,0.6113960356498928,1514.02685546875,0.017960000783205032
LUCA/BASEMAP_2016.MapServer,anonymous,1261.0,0.03687,0.18559889495372772,0.0006799999973736703,0.11502999812364578,0.13684000074863434,0.1619500070810318,0.22729000449180603,0.2761000096797943,0.46320998668670654,2.4237101078033447,0.11657358941733355,234.0402069091797,0.0027799999807029963
Audit_Data.MapServer,shaw0358,427.0,0.01249,0.29487040638923645,0.0008200000156648457,0.0010600000387057662,0.0019199999514967203,0.0028099999763071537,0.015150000341236591,2.5829100608825684,5.653240203857422,10.065569877624512,1.0467689292045328,125.90966033935547,0.0014900000533089042
Coll_Geo_2020/BCU_73_pt.MapServer,anonymous,401.0,0.01173,42.76221466064453,0.0017000000225380063,0.0038799999747425318,0.015549999661743641,48.24945068359375,75.46382904052734,96.1091079711914,112.89862060546875,128.7580108642578,36.68540750226201,17147.6484375,0.2034199982881546
Coll_Geo_2020/2020_Coll_Geo_Viewer_wBCU.MapServer,li000341,171.0,0.005,0.5022458434104919,0.015039999969303608,0.27226001024246216,0.33208999037742615,0.39142000675201416,0.5336199998855591,0.8802000284194946,2.9735500812530518,3.920789957046509,0.44210168158138907,85.88404083251953,0.001019999966956675
Audit_Data.MapServer,wrigh458,131.0,0.00383,0.11136756092309952,0.0008200000156648457,0.0008500000112690032,0.0018500000005587935,0.003909999970346689,0.0406700000166893,0.2616899907588959,2.462160110473633,4.886889934539795,0.5177863164649033,14.589150428771973,0.00016999999934341758
2020_Mail_Contact_Strategy.MapServer,anonymous,100.0,0.00292,0.45061609148979187,0.008820000104606152,0.024769999086856842,0.2137800008058548,0.32857999205589294,0.44767001271247864,1.6585700511932373,2.2118101119995117,3.8928799629211426,0.5542913110944733,45.06161117553711,0.0005300000193528831
VTD/VotingDistrictsViewer.MapServer,li000341,86.0,0.00251,0.817428469657898,0.02637000009417534,0.05266999825835228,0.606660008430481,0.9799000024795532,1.1166800260543823,1.3776799440383911,2.0257298946380615,2.0257298946380615,0.4703584693184595,70.2988510131836,0.0008299999753944576
BCU_ora.MapServer,li000341,79.0,0.00231,0.1832437962293625,0.00039999998989515007,0.0005099999834783375,0.04853000119328499,0.1292400062084198,0.2625199854373932,0.5243099927902222,0.557449996471405,0.557449996471405,0.14952652529836766,14.4762601852417,0.00016999999934341758
Coll_Geo_2020/2020_Coll_Geo_Viewer.MapServer,anonymous,66.0,0.00193,0.7214598655700684,0.07524999976158142,0.19886000454425812,0.2612699866294861,0.6952800154685974,0.9560999870300293,1.6577800512313843,2.154010057449341,2.154010057449341,0.4652169920429025,47.61635208129883,0.0005600000149570405
bas20gdb_BCU_73_pt_min.MapServer,li000341,57.0,0.00167,7.922608375549316,0.0035500000230968,0.008609999902546406,0.008940000087022781,0.02126999944448471,0.2983100116252899,49.009220123291016,106.33045196533203,106.33045196533203,21.18199154929337,451.58868408203125,0.00535999983549118
LUCA/BASEMAP_2016.MapServer,li000341,53.0,0.00155,0.12417151033878326,0.07416000217199326,0.07503999769687653,0.10068000108003616,0.10290999710559845,0.14328999817371368,0.19399000704288483,0.22844000160694122,0.22844000160694122,0.039540058098423925,6.581089973449707,7.999999797903001e-05
Coll_Geo_2020/BCU_73_pt.MapServer,li000341,51.0,0.00149,1.3733248710632324,0.0020200000144541264,0.0023399998899549246,0.007849999703466892,0.015309999696910381,0.015969999134540558,0.11889000236988068,69.05316925048828,69.05316925048828,9.571420047853714,70.03956604003906,0.0008299999753944576
Coll_Geo_2020/BCU_73.MapServer,anonymous,45.0,0.00132,24.930309295654297,0.005679999943822622,0.09299000352621078,0.19216999411582947,1.0096299648284912,61.623008728027344,99.26930236816406,123.7396469116211,123.7396469116211,39.18459547789887,1121.8638916015625,0.01331000030040741
IntProdPortal/2020_IFAC_Universe.MapServer,anonymous,43.0,0.00126,11.704878807067871,0.0522099994122982,0.06725999712944031,0.1763399988412857,0.3859899938106537,1.9987399578094482,28.08761978149414,181.075927734375,181.075927734375,37.071331396384885,503.3097839355469,0.005969999823719263
AdCan/AdCan_County_Rec.MapServer,anonymous,40.0,0.00117,0.6697522401809692,0.05688999965786934,0.07074999809265137,0.20255999267101288,0.5529900193214417,1.0165200233459473,1.635159969329834,2.1175599098205566,2.1175599098205566,0.5095188193927982,26.790090560913086,0.00031999999191612005
