Date_Time,Epoch_Time,Year,Month,Day,Hour,Minute,Requests_Minute,Requests_Seccond,Avg_Response_Time,Min_Response_Time,P95_Response_Time,P99_Response_Time,Max_Response_Time,HTTP_200,HTTP_300,HTTP_400,HTTP_500,date
2020-04-27 10:53:00,1587984780000,2020,4,27,10,53,7,0.12,0.2645842730998993,0.0007800000021234155,1.78957998752594,1.78957998752594,1.78957998752594,7,0,0,0,2020-04-27
2020-04-27 11:22:00,1587986520000,2020,4,27,11,22,6,0.1,0.14828500151634216,0.0006500000017695129,0.8768600225448608,0.8768600225448608,0.8768600225448608,6,0,0,0,2020-04-27
2020-04-27 11:43:00,1587987780000,2020,4,27,11,43,5,0.08,0.18873600661754608,0.0005799999926239252,0.9315000176429749,0.9315000176429749,0.9315000176429749,5,0,0,0,2020-04-27
2020-04-27 13:37:00,1587994620000,2020,4,27,13,37,6,0.1,0.17442834377288818,0.0008399999933317304,1.0188100337982178,1.0188100337982178,1.0188100337982178,6,0,0,0,2020-04-27
2020-04-27 13:38:00,1587994680000,2020,4,27,13,38,5,0.08,0.04679400101304054,0.0008800000068731606,0.2209099978208542,0.2209099978208542,0.2209099978208542,5,0,0,0,2020-04-27
2020-04-27 13:50:00,1587995400000,2020,4,27,13,50,5,0.08,0.4309979975223541,0.0006200000061653554,2.1428699493408203,2.1428699493408203,2.1428699493408203,5,0,0,0,2020-04-27
2020-04-27 13:59:00,1587995940000,2020,4,27,13,59,30,0.5,0.1545923352241516,0.0005300000193528831,0.9276700019836426,1.1547600030899048,1.1547600030899048,30,0,0,0,2020-04-27
2020-04-27 14:11:00,1587996660000,2020,4,27,14,11,25,0.42,0.04828839749097824,0.0002500000118743628,0.28101998567581177,0.5459799766540527,0.5459799766540527,25,0,0,0,2020-04-27
2020-04-27 14:19:00,1587997140000,2020,4,27,14,19,8,0.13,0.027194999158382416,0.00026000000070780516,0.20503999292850494,0.20503999292850494,0.20503999292850494,8,0,0,0,2020-04-27
2020-04-27 14:22:00,1587997320000,2020,4,27,14,22,4,0.07,0.002940000034868717,0.00026000000070780516,0.010119999758899212,0.010119999758899212,0.010119999758899212,4,0,0,0,2020-04-27
2020-04-27 14:23:00,1587997380000,2020,4,27,14,23,116,1.93,0.0006148276152089238,0.0003600000054575503,0.0009500000160187483,0.0010000000474974513,0.0010600000387057662,116,0,0,0,2020-04-27
2020-04-27 14:24:00,1587997440000,2020,4,27,14,24,120,2.0,0.9983437657356262,0.0003699999942909926,0.0009500000160187483,0.5897799730300903,119.13806915283203,120,0,0,0,2020-04-27
2020-04-27 14:25:00,1587997500000,2020,4,27,14,25,1,0.02,0.15036000311374664,0.15036000311374664,0.15036000311374664,0.15036000311374664,0.15036000311374664,1,0,0,0,2020-04-27
2020-04-27 14:29:00,1587997740000,2020,4,27,14,29,6,0.1,0.0512133352458477,0.0006300000241026282,0.266400009393692,0.266400009393692,0.266400009393692,6,0,0,0,2020-04-27
2020-04-27 14:30:00,1587997800000,2020,4,27,14,30,8,0.13,2.0353987216949463,0.2636600136756897,13.440710067749023,13.440710067749023,13.440710067749023,8,0,0,0,2020-04-27
2020-04-27 14:37:00,1587998220000,2020,4,27,14,37,18,0.3,0.0343155562877655,0.0002300000051036477,0.2546600103378296,0.2546600103378296,0.2546600103378296,18,0,0,0,2020-04-27
2020-04-27 14:40:00,1587998400000,2020,4,27,14,40,14,0.23,0.3829157054424286,0.0004299999854993075,3.3445498943328857,3.3445498943328857,3.3445498943328857,14,0,0,0,2020-04-27
2020-04-27 14:45:00,1587998700000,2020,4,27,14,45,10,0.17,0.0222609993070364,0.0002500000118743628,0.20905999839305878,0.20905999839305878,0.20905999839305878,10,0,0,0,2020-04-27
2020-04-27 14:48:00,1587998880000,2020,4,27,14,48,20,0.33,0.001089500030502677,0.0002300000051036477,0.001069999998435378,0.009680000133812428,0.009680000133812428,20,0,0,0,2020-04-27
2020-04-27 14:49:00,1587998940000,2020,4,27,14,49,116,1.93,0.0006075000273995101,0.0003600000054575503,0.0009500000160187483,0.0009800000116229057,0.0011099999537691474,116,0,0,0,2020-04-27
2020-04-27 14:50:00,1587999000000,2020,4,27,14,50,107,1.78,1.1237863302230835,0.0003699999942909926,0.001019999966956675,0.17479999363422394,119.83708190917969,107,0,0,0,2020-04-27
2020-04-27 14:55:00,1587999300000,2020,4,27,14,55,23,0.38,0.03458130359649658,0.0002300000051036477,0.16425999999046326,0.257860004901886,0.257860004901886,23,0,0,0,2020-04-27
2020-04-27 15:03:00,1587999780000,2020,4,27,15,3,14,0.23,0.12124928086996078,0.0002099999983329326,1.682289958000183,1.682289958000183,1.682289958000183,14,0,0,0,2020-04-27
2020-04-27 15:06:00,1587999960000,2020,4,27,15,6,72,1.2,0.0007554166950285435,0.00023999999393709004,0.0009500000160187483,0.010479999706149101,0.010479999706149101,72,0,0,0,2020-04-27
2020-04-27 15:07:00,1588000020000,2020,4,27,15,7,118,1.97,0.000611864379607141,0.0003600000054575503,0.0009399999980814755,0.0009800000116229057,0.0009800000116229057,118,0,0,0,2020-04-27
2020-04-27 15:08:00,1588000080000,2020,4,27,15,8,25,0.42,4.236763000488281,0.0003800000122282654,0.18052999675273895,105.56108093261719,105.56108093261719,25,0,0,0,2020-04-27
2020-04-27 15:14:00,1588000440000,2020,4,27,15,14,3,0.05,2.8379833698272705,0.03189999982714653,5.847760200500488,5.847760200500488,5.847760200500488,3,0,0,0,2020-04-27
